Pavardė            Vardas              Galutinis (vid.)    
Pavardė796         Vardas796           4.48                
Pavardė797         Vardas797           5.20                
Pavardė798         Vardas798           6.84                
Pavardė799         Vardas799           2.32                
Pavardė8           Vardas8             4.56                
Pavardė80          Vardas80            7.72                
Pavardė800         Vardas800           6.36                
Pavardė801         Vardas801           3.00                
Pavardė802         Vardas802           2.32                
Pavardė803         Vardas803           6.24                
Pavardė804         Vardas804           3.52                
Pavardė805         Vardas805           1.60                
Pavardė806         Vardas806           3.20                
Pavardė807         Vardas807           6.28                
Pavardė808         Vardas808           3.68                
Pavardė809         Vardas809           2.52                
Pavardė81          Vardas81            6.68                
Pavardė810         Vardas810           7.92                
Pavardė811         Vardas811           2.40                
Pavardė812         Vardas812           5.96                
Pavardė813         Vardas813           2.40                
Pavardė814         Vardas814           4.72                
Pavardė815         Vardas815           3.96                
Pavardė816         Vardas816           4.96                
Pavardė817         Vardas817           6.68                
Pavardė818         Vardas818           5.64                
Pavardė819         Vardas819           4.28                
Pavardė82          Vardas82            4.52                
Pavardė820         Vardas820           8.12                
Pavardė821         Vardas821           5.04                
Pavardė822         Vardas822           1.32                
Pavardė823         Vardas823           3.84                
Pavardė824         Vardas824           5.12                
Pavardė825         Vardas825           5.64                
Pavardė826         Vardas826           5.88                
Pavardė827         Vardas827           4.04                
Pavardė828         Vardas828           5.04                
Pavardė829         Vardas829           5.08                
Pavardė83          Vardas83            8.24                
Pavardė830         Vardas830           6.88                
Pavardė831         Vardas831           4.68                
Pavardė832         Vardas832           4.72                
Pavardė833         Vardas833           6.72                
Pavardė834         Vardas834           3.44                
Pavardė835         Vardas835           7.24                
Pavardė836         Vardas836           6.48                
Pavardė837         Vardas837           4.48                
Pavardė838         Vardas838           1.76                
Pavardė839         Vardas839           3.56                
Pavardė84          Vardas84            7.48                
Pavardė840         Vardas840           5.84                
Pavardė841         Vardas841           3.00                
Pavardė842         Vardas842           3.48                
Pavardė843         Vardas843           2.72                
Pavardė844         Vardas844           8.20                
Pavardė845         Vardas845           6.24                
Pavardė846         Vardas846           3.36                
Pavardė847         Vardas847           7.32                
Pavardė848         Vardas848           5.68                
Pavardė849         Vardas849           5.16                
Pavardė85          Vardas85            5.96                
Pavardė850         Vardas850           5.44                
Pavardė851         Vardas851           2.92                
Pavardė852         Vardas852           2.96                
Pavardė853         Vardas853           5.00                
Pavardė854         Vardas854           4.24                
Pavardė855         Vardas855           2.28                
Pavardė856         Vardas856           2.80                
Pavardė857         Vardas857           8.44                
Pavardė858         Vardas858           5.12                
Pavardė859         Vardas859           4.24                
Pavardė86          Vardas86            3.32                
Pavardė860         Vardas860           6.60                
Pavardė861         Vardas861           7.24                
Pavardė862         Vardas862           3.76                
Pavardė863         Vardas863           6.80                
Pavardė864         Vardas864           2.00                
Pavardė865         Vardas865           5.72                
Pavardė866         Vardas866           0.80                
Pavardė867         Vardas867           2.92                
Pavardė868         Vardas868           6.48                
Pavardė869         Vardas869           7.88                
Pavardė87          Vardas87            6.64                
Pavardė870         Vardas870           7.24                
Pavardė871         Vardas871           5.20                
Pavardė872         Vardas872           2.68                
Pavardė873         Vardas873           1.76                
Pavardė874         Vardas874           5.08                
Pavardė875         Vardas875           3.28                
Pavardė876         Vardas876           4.04                
Pavardė877         Vardas877           4.84                
Pavardė878         Vardas878           3.64                
Pavardė879         Vardas879           1.60                
Pavardė88          Vardas88            7.20                
Pavardė880         Vardas880           7.64                
Pavardė881         Vardas881           4.20                
Pavardė882         Vardas882           6.52                
Pavardė883         Vardas883           8.40                
Pavardė884         Vardas884           2.48                
Pavardė885         Vardas885           3.48                
Pavardė886         Vardas886           5.00                
Pavardė887         Vardas887           7.84                
Pavardė888         Vardas888           5.28                
Pavardė889         Vardas889           7.36                
Pavardė89          Vardas89            4.92                
Pavardė890         Vardas890           5.88                
Pavardė891         Vardas891           3.76                
Pavardė892         Vardas892           2.96                
Pavardė893         Vardas893           6.04                
Pavardė894         Vardas894           2.88                
Pavardė895         Vardas895           6.04                
Pavardė896         Vardas896           2.64                
Pavardė897         Vardas897           8.36                
Pavardė898         Vardas898           2.84                
Pavardė899         Vardas899           3.84                
Pavardė9           Vardas9             5.44                
Pavardė90          Vardas90            5.40                
Pavardė900         Vardas900           7.96                
Pavardė901         Vardas901           7.16                
Pavardė902         Vardas902           7.28                
Pavardė903         Vardas903           1.88                
Pavardė904         Vardas904           2.88                
Pavardė905         Vardas905           7.60                
Pavardė906         Vardas906           6.24                
Pavardė907         Vardas907           2.32                
Pavardė908         Vardas908           4.68                
Pavardė909         Vardas909           7.08                
Pavardė91          Vardas91            5.60                
Pavardė910         Vardas910           2.72                
Pavardė911         Vardas911           4.80                
Pavardė912         Vardas912           2.16                
Pavardė913         Vardas913           7.32                
Pavardė914         Vardas914           7.04                
Pavardė915         Vardas915           3.84                
Pavardė916         Vardas916           3.08                
Pavardė917         Vardas917           7.76                
Pavardė918         Vardas918           5.00                
Pavardė919         Vardas919           6.96                
Pavardė92          Vardas92            6.32                
Pavardė920         Vardas920           7.56                
Pavardė921         Vardas921           6.28                
Pavardė922         Vardas922           5.64                
Pavardė923         Vardas923           4.84                
Pavardė924         Vardas924           7.52                
Pavardė925         Vardas925           7.60                
Pavardė926         Vardas926           5.96                
Pavardė927         Vardas927           5.08                
Pavardė928         Vardas928           4.72                
Pavardė929         Vardas929           7.04                
Pavardė93          Vardas93            7.44                
Pavardė930         Vardas930           6.80                
Pavardė931         Vardas931           1.52                
Pavardė932         Vardas932           3.12                
Pavardė933         Vardas933           4.96                
Pavardė934         Vardas934           7.44                
Pavardė935         Vardas935           7.52                
Pavardė936         Vardas936           3.28                
Pavardė937         Vardas937           8.08                
Pavardė938         Vardas938           7.24                
Pavardė939         Vardas939           5.96                
Pavardė94          Vardas94            2.48                
Pavardė940         Vardas940           3.84                
Pavardė941         Vardas941           7.36                
Pavardė942         Vardas942           5.88                
Pavardė943         Vardas943           5.44                
Pavardė944         Vardas944           3.56                
Pavardė945         Vardas945           2.44                
Pavardė946         Vardas946           1.44                
Pavardė947         Vardas947           5.48                
Pavardė948         Vardas948           7.08                
Pavardė949         Vardas949           5.48                
Pavardė95          Vardas95            6.64                
Pavardė950         Vardas950           1.96                
Pavardė951         Vardas951           6.00                
Pavardė952         Vardas952           3.56                
Pavardė953         Vardas953           5.72                
Pavardė954         Vardas954           5.28                
Pavardė955         Vardas955           2.88                
Pavardė956         Vardas956           5.64                
Pavardė957         Vardas957           4.12                
Pavardė958         Vardas958           5.32                
Pavardė959         Vardas959           4.88                
Pavardė96          Vardas96            3.96                
Pavardė960         Vardas960           4.36                
Pavardė961         Vardas961           5.80                
Pavardė962         Vardas962           3.20                
Pavardė963         Vardas963           8.04                
Pavardė964         Vardas964           4.00                
Pavardė965         Vardas965           3.80                
Pavardė966         Vardas966           6.00                
Pavardė967         Vardas967           7.20                
Pavardė968         Vardas968           4.88                
Pavardė969         Vardas969           4.88                
Pavardė97          Vardas97            4.88                
Pavardė970         Vardas970           2.36                
Pavardė971         Vardas971           3.44                
Pavardė972         Vardas972           7.60                
Pavardė973         Vardas973           5.00                
Pavardė974         Vardas974           6.64                
Pavardė975         Vardas975           7.00                
Pavardė976         Vardas976           6.68                
Pavardė977         Vardas977           3.96                
Pavardė978         Vardas978           6.08                
Pavardė979         Vardas979           5.76                
Pavardė98          Vardas98            2.72                
Pavardė980         Vardas980           8.64                
Pavardė981         Vardas981           9.04                
Pavardė982         Vardas982           3.20                
Pavardė983         Vardas983           1.68                
Pavardė984         Vardas984           4.88                
Pavardė985         Vardas985           7.04                
Pavardė986         Vardas986           5.16                
Pavardė987         Vardas987           2.88                
Pavardė988         Vardas988           4.04                
Pavardė989         Vardas989           8.96                
Pavardė99          Vardas99            5.32                
Pavardė990         Vardas990           3.76                
Pavardė991         Vardas991           5.24                
Pavardė992         Vardas992           2.96                
Pavardė993         Vardas993           6.52                
Pavardė994         Vardas994           4.24                
Pavardė995         Vardas995           5.68                
Pavardė996         Vardas996           4.80                
Pavardė997         Vardas997           5.72                
Pavardė998         Vardas998           6.12                
Pavardė999         Vardas999           7.56                
